noOpt,opt,size,alpha,rate,distance
438.0,438.0,100,0.01,2,500
262.0,197.0,100,0.01,2,500
174.0,174.0,100,0.01,2,500
300.0,300.0,100,0.01,2,500
376.0,376.0,100,0.01,2,500
167.0,167.0,100,0.01,2,500
56.0,56.0,100,0.01,2,500
80.0,80.0,100,0.01,2,500
538.0,535.0,100,0.01,2,500
186.0,181.0,100,0.01,2,500
288.0,288.0,100,0.02,2,500
413.0,409.0,100,0.02,2,500
212.0,212.0,100,0.02,2,500
189.0,189.0,100,0.02,2,500
329.0,329.0,100,0.02,2,500
265.0,266.0,100,0.02,2,500
290.0,290.0,100,0.02,2,500
401.0,304.0,100,0.02,2,500
32.0,32.0,100,0.02,2,500
143.0,154.0,100,0.02,2,500
145.0,145.0,100,0.05,2,500
199.0,200.0,100,0.05,2,500
98.0,98.0,100,0.05,2,500
251.0,239.0,100,0.05,2,500
425.0,425.0,100,0.05,2,500
372.0,343.0,100,0.05,2,500
197.0,197.0,100,0.05,2,500
146.0,146.0,100,0.05,2,500
193.0,193.0,100,0.05,2,500
197.0,197.0,100,0.05,2,500
203.0,207.0,100,0.1,2,500
94.0,94.0,100,0.1,2,500
355.0,347.0,100,0.1,2,500
379.0,380.0,100,0.1,2,500
382.0,354.0,100,0.1,2,500
208.0,208.0,100,0.1,2,500
164.0,164.0,100,0.1,2,500
156.0,156.0,100,0.1,2,500
167.0,167.0,100,0.1,2,500
240.0,240.0,100,0.1,2,500
292.0,282.0,100,0.2,2,500
244.0,244.0,100,0.2,2,500
355.0,355.0,100,0.2,2,500
160.0,160.0,100,0.2,2,500
256.0,256.0,100,0.2,2,500
273.0,273.0,100,0.2,2,500
156.0,156.0,100,0.2,2,500
393.0,393.0,100,0.2,2,500
137.0,137.0,100,0.2,2,500
67.0,67.0,100,0.2,2,500
139.0,139.0,100,0.5,2,500
150.0,150.0,100,0.5,2,500
63.0,63.0,100,0.5,2,500
295.0,295.0,100,0.5,2,500
471.0,471.0,100,0.5,2,500
122.0,127.0,100,0.5,2,500
395.0,347.0,100,0.5,2,500
191.0,191.0,100,0.5,2,500
227.0,184.0,100,0.5,2,500
332.0,334.0,100,0.5,2,500
116.0,116.0,100,1,2,500
67.0,67.0,100,1,2,500
156.0,118.0,100,1,2,500
248.0,237.0,100,1,2,500
351.0,351.0,100,1,2,500
120.0,120.0,100,1,2,500
164.0,164.0,100,1,2,500
317.0,300.0,100,1,2,500
272.0,254.0,100,1,2,500
309.0,307.0,100,1,2,500
287.0,288.0,100,2,2,500
97.0,97.0,100,2,2,500
31.0,31.0,100,2,2,500
297.0,292.0,100,2,2,500
74.0,74.0,100,2,2,500
248.0,248.0,100,2,2,500
189.0,189.0,100,2,2,500
183.0,183.0,100,2,2,500
158.0,158.0,100,2,2,500
109.0,109.0,100,2,2,500
182.0,182.0,100,5,2,500
145.0,156.0,100,5,2,500
82.0,82.0,100,5,2,500
419.0,373.0,100,5,2,500
375.0,375.0,100,5,2,500
262.0,262.0,100,5,2,500
200.0,200.0,100,5,2,500
346.0,346.0,100,5,2,500
195.0,195.0,100,5,2,500
499.0,499.0,100,5,2,500
201.0,201.0,100,10,2,500
418.0,418.0,100,10,2,500
164.0,164.0,100,10,2,500
116.0,116.0,100,10,2,500
242.0,242.0,100,10,2,500
186.0,186.0,100,10,2,500
204.0,204.0,100,10,2,500
609.0,575.0,100,10,2,500
313.0,313.0,100,10,2,500
132.0,132.0,100,10,2,500
