noOpt,opt,size,alpha,rate,distance
250.0,250.0,1000,0.01,2,500
642.0,642.0,1000,0.01,2,500
498.0,486.0,1000,0.01,2,500
1037.0,965.0,1000,0.01,2,500
634.0,619.0,1000,0.01,2,500
352.0,352.0,1000,0.01,2,500
226.0,226.0,1000,0.01,2,500
679.0,649.0,1000,0.01,2,500
330.0,328.0,1000,0.01,2,500
534.0,534.0,1000,0.01,2,500
171.0,171.0,1000,0.02,2,500
980.0,985.0,1000,0.02,2,500
362.0,362.0,1000,0.02,2,500
375.0,375.0,1000,0.02,2,500
312.0,312.0,1000,0.02,2,500
358.0,358.0,1000,0.02,2,500
702.0,702.0,1000,0.02,2,500
612.0,612.0,1000,0.02,2,500
486.0,486.0,1000,0.02,2,500
668.0,668.0,1000,0.02,2,500
618.0,582.0,1000,0.05,2,500
86.0,86.0,1000,0.05,2,500
334.0,334.0,1000,0.05,2,500
378.0,378.0,1000,0.05,2,500
423.0,424.0,1000,0.05,2,500
214.0,214.0,1000,0.05,2,500
587.0,584.0,1000,0.05,2,500
1054.0,1033.0,1000,0.05,2,500
405.0,405.0,1000,0.05,2,500
680.0,680.0,1000,0.1,2,500
250.0,250.0,1000,0.1,2,500
269.0,269.0,1000,0.1,2,500
338.0,338.0,1000,0.1,2,500
491.0,491.0,1000,0.1,2,500
591.0,590.0,1000,0.1,2,500
460.0,460.0,1000,0.1,2,500
588.0,580.0,1000,0.1,2,500
623.0,623.0,1000,0.1,2,500
618.0,618.0,1000,0.1,2,500
506.0,502.0,1000,0.2,2,500
127.0,127.0,1000,0.2,2,500
460.0,460.0,1000,0.2,2,500
632.0,615.0,1000,0.2,2,500
962.0,955.0,1000,0.2,2,500
406.0,406.0,1000,0.2,2,500
309.0,309.0,1000,0.2,2,500
656.0,658.0,1000,0.2,2,500
600.0,609.0,1000,0.2,2,500
580.0,580.0,1000,0.2,2,500
401.0,401.0,1000,0.5,2,500
195.0,195.0,1000,0.5,2,500
547.0,547.0,1000,0.5,2,500
467.0,467.0,1000,0.5,2,500
461.0,461.0,1000,0.5,2,500
407.0,407.0,1000,0.5,2,500
810.0,786.0,1000,0.5,2,500
729.0,719.0,1000,0.5,2,500
463.0,463.0,1000,0.5,2,500
456.0,452.0,1000,0.5,2,500
520.0,511.0,1000,1,2,500
619.0,619.0,1000,1,2,500
334.0,333.0,1000,1,2,500
914.0,870.0,1000,1,2,500
450.0,452.0,1000,1,2,500
527.0,527.0,1000,1,2,500
684.0,687.0,1000,1,2,500
363.0,363.0,1000,1,2,500
720.0,704.0,1000,1,2,500
395.0,395.0,1000,1,2,500
453.0,411.0,1000,2,2,500
684.0,684.0,1000,2,2,500
78.0,78.0,1000,2,2,500
570.0,535.0,1000,2,2,500
238.0,237.0,1000,2,2,500
725.0,698.0,1000,2,2,500
442.0,382.0,1000,2,2,500
563.0,563.0,1000,2,2,500
405.0,405.0,1000,2,2,500
418.0,406.0,1000,2,2,500
520.0,476.0,1000,5,2,500
489.0,489.0,1000,5,2,500
609.0,484.0,1000,5,2,500
306.0,306.0,1000,5,2,500
736.0,736.0,1000,5,2,500
646.0,646.0,1000,5,2,500
364.0,364.0,1000,5,2,500
463.0,463.0,1000,5,2,500
882.0,869.0,1000,5,2,500
301.0,301.0,1000,5,2,500
927.0,927.0,1000,10,2,500
268.0,268.0,1000,10,2,500
453.0,453.0,1000,10,2,500
678.0,656.0,1000,10,2,500
873.0,873.0,1000,10,2,500
438.0,438.0,1000,10,2,500
469.0,469.0,1000,10,2,500
339.0,339.0,1000,10,2,500
809.0,785.0,1000,10,2,500
603.0,581.0,1000,10,2,500
