noOpt,opt,size,alpha,rate,distance
162.0,162.0,1000,0.05,2,200
404.0,411.0,1000,0.05,2,200
312.0,312.0,1000,0.05,2,200
244.0,244.0,1000,0.05,2,200
352.0,355.0,1000,0.05,2,200
459.0,459.0,1000,0.05,2,200
395.0,375.0,1000,0.05,2,200
523.0,544.0,1000,0.05,2,200
245.0,245.0,1000,0.05,2,200
379.0,379.0,1000,0.05,2,200
513.0,513.0,1000,0.05,2,300
397.0,397.0,1000,0.05,2,300
467.0,467.0,1000,0.05,2,300
93.0,93.0,1000,0.05,2,300
417.0,417.0,1000,0.05,2,300
629.0,635.0,1000,0.05,2,300
412.0,412.0,1000,0.05,2,300
614.0,614.0,1000,0.05,2,300
115.0,115.0,1000,0.05,2,300
260.0,260.0,1000,0.05,2,300
520.0,520.0,1000,0.05,2,400
242.0,242.0,1000,0.05,2,400
477.0,485.0,1000,0.05,2,400
864.0,830.0,1000,0.05,2,400
482.0,488.0,1000,0.05,2,400
161.0,161.0,1000,0.05,2,400
409.0,409.0,1000,0.05,2,400
423.0,423.0,1000,0.05,2,400
313.0,313.0,1000,0.05,2,400
155.0,155.0,1000,0.05,2,400
326.0,326.0,1000,0.05,2,500
431.0,446.0,1000,0.05,2,500
580.0,590.0,1000,0.05,2,500
1026.0,1026.0,1000,0.05,2,500
414.0,414.0,1000,0.05,2,500
252.0,252.0,1000,0.05,2,500
558.0,550.0,1000,0.05,2,500
545.0,545.0,1000,0.05,2,500
140.0,140.0,1000,0.05,2,500
853.0,843.0,1000,0.05,2,500
501.0,503.0,1000,0.05,2,700
910.0,851.0,1000,0.05,2,700
535.0,521.0,1000,0.05,2,700
593.0,591.0,1000,0.05,2,700
414.0,414.0,1000,0.05,2,700
565.0,565.0,1000,0.05,2,700
702.0,702.0,1000,0.05,2,700
779.0,779.0,1000,0.05,2,700
418.0,418.0,1000,0.05,2,700
1326.0,1322.0,1000,0.05,2,700
1436.0,1436.0,1000,0.05,2,1000
1083.0,961.0,1000,0.05,2,1000
343.0,343.0,1000,0.05,2,1000
1350.0,1350.0,1000,0.05,2,1000
727.0,712.0,1000,0.05,2,1000
896.0,896.0,1000,0.05,2,1000
980.0,964.0,1000,0.05,2,1000
444.0,444.0,1000,0.05,2,1000
631.0,631.0,1000,0.05,2,1000
264.0,264.0,1000,0.05,2,1000
1124.0,1124.0,1000,0.05,2,1200
1581.0,1581.0,1000,0.05,2,1200
171.0,171.0,1000,0.05,2,1200
1512.0,1432.0,1000,0.05,2,1200
971.0,971.0,1000,0.05,2,1200
801.0,801.0,1000,0.05,2,1200
1680.0,1633.0,1000,0.05,2,1200
743.0,743.0,1000,0.05,2,1200
1215.0,1197.0,1000,0.05,2,1200
1158.0,1148.0,1000,0.05,2,1200
1199.0,1199.0,1000,0.05,2,1500
649.0,649.0,1000,0.05,2,1500
467.0,467.0,1000,0.05,2,1500
1011.0,1011.0,1000,0.05,2,1500
1289.0,1303.0,1000,0.05,2,1500
347.0,347.0,1000,0.05,2,1500
1766.0,1766.0,1000,0.05,2,1500
881.0,881.0,1000,0.05,2,1500
1793.0,1792.0,1000,0.05,2,1500
890.0,890.0,1000,0.05,2,1500
1131.0,1131.0,1000,0.05,2,1700
1635.0,1636.0,1000,0.05,2,1700
1420.0,1420.0,1000,0.05,2,1700
784.0,784.0,1000,0.05,2,1700
1252.0,1252.0,1000,0.05,2,1700
1513.0,1471.0,1000,0.05,2,1700
1271.0,1200.0,1000,0.05,2,1700
1728.0,1618.0,1000,0.05,2,1700
1996.0,1974.0,1000,0.05,2,1700
1213.0,1213.0,1000,0.05,2,1700
1298.0,1298.0,1000,0.05,2,2000
672.0,672.0,1000,0.05,2,2000
731.0,731.0,1000,0.05,2,2000
2755.0,2620.0,1000,0.05,2,2000
962.0,962.0,1000,0.05,2,2000
1197.0,1197.0,1000,0.05,2,2000
533.0,537.0,1000,0.05,2,2000
1349.0,1303.0,1000,0.05,2,2000
3011.0,3001.0,1000,0.05,2,2000
1190.0,1203.0,1000,0.05,2,2000
