noOpt,opt,size,alpha,rate,distance
325.0,320.0,100,0.05,1,500
142.0,142.0,100,0.05,1,500
269.0,314.0,100,0.05,1,500
146.0,146.0,100,0.05,1,500
347.0,347.0,100,0.05,1,500
139.0,139.0,100,0.05,1,500
128.0,128.0,100,0.05,1,500
146.0,146.0,100,0.05,1,500
190.0,190.0,100,0.05,1,500
377.0,377.0,100,0.05,1,500
194.0,194.0,100,0.05,2,500
252.0,252.0,100,0.05,2,500
372.0,355.0,100,0.05,2,500
228.0,228.0,100,0.05,2,500
29.0,29.0,100,0.05,2,500
143.0,139.0,100,0.05,2,500
185.0,185.0,100,0.05,2,500
235.0,193.0,100,0.05,2,500
157.0,157.0,100,0.05,2,500
256.0,256.0,100,0.05,2,500
251.0,251.0,100,0.05,3,500
258.0,143.0,100,0.05,3,500
294.0,294.0,100,0.05,3,500
175.0,175.0,100,0.05,3,500
253.0,251.0,100,0.05,3,500
219.0,219.0,100,0.05,3,500
330.0,330.0,100,0.05,3,500
168.0,183.0,100,0.05,3,500
176.0,176.0,100,0.05,3,500
41.0,41.0,100,0.05,3,500
450.0,450.0,100,0.05,4,500
173.0,173.0,100,0.05,4,500
64.0,64.0,100,0.05,4,500
164.0,164.0,100,0.05,4,500
177.0,172.0,100,0.05,4,500
327.0,327.0,100,0.05,4,500
381.0,382.0,100,0.05,4,500
189.0,189.0,100,0.05,4,500
143.0,143.0,100,0.05,4,500
57.0,57.0,100,0.05,4,500
149.0,149.0,100,0.05,5,500
291.0,291.0,100,0.05,5,500
229.0,229.0,100,0.05,5,500
238.0,238.0,100,0.05,5,500
151.0,151.0,100,0.05,5,500
225.0,225.0,100,0.05,5,500
207.0,207.0,100,0.05,5,500
406.0,406.0,100,0.05,5,500
176.0,176.0,100,0.05,5,500
173.0,173.0,100,0.05,5,500
290.0,290.0,100,0.05,6,500
178.0,178.0,100,0.05,6,500
222.0,217.0,100,0.05,6,500
149.0,149.0,100,0.05,6,500
196.0,196.0,100,0.05,6,500
281.0,281.0,100,0.05,6,500
234.0,234.0,100,0.05,6,500
436.0,436.0,100,0.05,6,500
224.0,224.0,100,0.05,6,500
232.0,232.0,100,0.05,6,500
171.0,171.0,100,0.05,7,500
360.0,360.0,100,0.05,7,500
93.0,93.0,100,0.05,7,500
148.0,148.0,100,0.05,7,500
269.0,269.0,100,0.05,7,500
435.0,408.0,100,0.05,7,500
419.0,419.0,100,0.05,7,500
330.0,330.0,100,0.05,7,500
89.0,89.0,100,0.05,7,500
261.0,261.0,100,0.05,7,500
224.0,219.0,100,0.05,8,500
208.0,208.0,100,0.05,8,500
249.0,249.0,100,0.05,8,500
273.0,273.0,100,0.05,8,500
216.0,189.0,100,0.05,8,500
110.0,85.0,100,0.05,8,500
243.0,243.0,100,0.05,8,500
151.0,151.0,100,0.05,8,500
250.0,250.0,100,0.05,8,500
92.0,92.0,100,0.05,8,500
125.0,125.0,100,0.05,9,500
245.0,245.0,100,0.05,9,500
181.0,181.0,100,0.05,9,500
187.0,187.0,100,0.05,9,500
203.0,203.0,100,0.05,9,500
207.0,207.0,100,0.05,9,500
106.0,106.0,100,0.05,9,500
147.0,147.0,100,0.05,9,500
38.0,38.0,100,0.05,9,500
294.0,294.0,100,0.05,9,500
286.0,278.0,100,0.05,10,500
395.0,389.0,100,0.05,10,500
420.0,394.0,100,0.05,10,500
165.0,165.0,100,0.05,10,500
213.0,213.0,100,0.05,10,500
265.0,265.0,100,0.05,10,500
128.0,128.0,100,0.05,10,500
234.0,234.0,100,0.05,10,500
322.0,322.0,100,0.05,10,500
81.0,81.0,100,0.05,10,500
