noOpt,opt,size,alpha,rate,distance
191.0,191.0,100,0.05,2,200
57.0,49.0,100,0.05,2,200
164.0,164.0,100,0.05,2,200
161.0,155.0,100,0.05,2,200
177.0,178.0,100,0.05,2,200
187.0,171.0,100,0.05,2,200
151.0,151.0,100,0.05,2,200
191.0,191.0,100,0.05,2,200
77.0,77.0,100,0.05,2,200
191.0,194.0,100,0.05,2,200
211.0,217.0,100,0.05,2,300
284.0,273.0,100,0.05,2,300
379.0,357.0,100,0.05,2,300
224.0,224.0,100,0.05,2,300
168.0,173.0,100,0.05,2,300
214.0,229.0,100,0.05,2,300
207.0,207.0,100,0.05,2,300
219.0,219.0,100,0.05,2,300
175.0,175.0,100,0.05,2,300
351.0,337.0,100,0.05,2,300
33.0,33.0,100,0.05,2,400
222.0,222.0,100,0.05,2,400
344.0,341.0,100,0.05,2,400
195.0,194.0,100,0.05,2,400
190.0,190.0,100,0.05,2,400
358.0,293.0,100,0.05,2,400
82.0,82.0,100,0.05,2,400
170.0,170.0,100,0.05,2,400
234.0,234.0,100,0.05,2,400
123.0,123.0,100,0.05,2,400
315.0,315.0,100,0.05,2,500
319.0,319.0,100,0.05,2,500
439.0,422.0,100,0.05,2,500
304.0,304.0,100,0.05,2,500
195.0,195.0,100,0.05,2,500
179.0,179.0,100,0.05,2,500
280.0,280.0,100,0.05,2,500
274.0,274.0,100,0.05,2,500
539.0,516.0,100,0.05,2,500
218.0,195.0,100,0.05,2,500
258.0,258.0,100,0.05,2,700
269.0,269.0,100,0.05,2,700
465.0,465.0,100,0.05,2,700
155.0,155.0,100,0.05,2,700
176.0,176.0,100,0.05,2,700
218.0,218.0,100,0.05,2,700
51.0,51.0,100,0.05,2,700
98.0,98.0,100,0.05,2,700
495.0,495.0,100,0.05,2,700
267.0,267.0,100,0.05,2,700
460.0,456.0,100,0.05,2,1000
217.0,217.0,100,0.05,2,1000
420.0,420.0,100,0.05,2,1000
211.0,211.0,100,0.05,2,1000
236.0,236.0,100,0.05,2,1000
443.0,441.0,100,0.05,2,1000
287.0,287.0,100,0.05,2,1000
451.0,451.0,100,0.05,2,1000
335.0,339.0,100,0.05,2,1000
846.0,842.0,100,0.05,2,1000
437.0,437.0,100,0.05,2,1200
443.0,443.0,100,0.05,2,1200
44.0,44.0,100,0.05,2,1200
236.0,236.0,100,0.05,2,1200
447.0,447.0,100,0.05,2,1200
530.0,530.0,100,0.05,2,1200
321.0,321.0,100,0.05,2,1200
595.0,595.0,100,0.05,2,1200
369.0,369.0,100,0.05,2,1200
258.0,258.0,100,0.05,2,1200
830.0,830.0,100,0.05,2,1500
324.0,324.0,100,0.05,2,1500
1067.0,1067.0,100,0.05,2,1500
613.0,613.0,100,0.05,2,1500
689.0,689.0,100,0.05,2,1500
504.0,504.0,100,0.05,2,1500
702.0,692.0,100,0.05,2,1500
766.0,766.0,100,0.05,2,1500
498.0,498.0,100,0.05,2,1500
714.0,714.0,100,0.05,2,1500
585.0,585.0,100,0.05,2,1700
423.0,423.0,100,0.05,2,1700
374.0,374.0,100,0.05,2,1700
788.0,788.0,100,0.05,2,1700
562.0,562.0,100,0.05,2,1700
650.0,650.0,100,0.05,2,1700
1266.0,1265.0,100,0.05,2,1700
793.0,793.0,100,0.05,2,1700
783.0,783.0,100,0.05,2,1700
764.0,764.0,100,0.05,2,1700
1075.0,1075.0,100,0.05,2,2000
723.0,723.0,100,0.05,2,2000
1022.0,1022.0,100,0.05,2,2000
1149.0,1149.0,100,0.05,2,2000
959.0,959.0,100,0.05,2,2000
837.0,837.0,100,0.05,2,2000
1021.0,1012.0,100,0.05,2,2000
799.0,799.0,100,0.05,2,2000
386.0,386.0,100,0.05,2,2000
483.0,483.0,100,0.05,2,2000
