noOpt,opt,size,alpha,rate,distance
364.0,364.0,1000,0.05,1,500
383.0,383.0,1000,0.05,1,500
615.0,615.0,1000,0.05,1,500
404.0,404.0,1000,0.05,1,500
1025.0,1051.0,1000,0.05,1,500
804.0,813.0,1000,0.05,1,500
485.0,485.0,1000,0.05,1,500
300.0,300.0,1000,0.05,1,500
786.0,710.0,1000,0.05,1,500
655.0,655.0,1000,0.05,1,500
174.0,174.0,1000,0.05,2,500
612.0,612.0,1000,0.05,2,500
464.0,464.0,1000,0.05,2,500
667.0,667.0,1000,0.05,2,500
227.0,227.0,1000,0.05,2,500
132.0,132.0,1000,0.05,2,500
458.0,451.0,1000,0.05,2,500
494.0,494.0,1000,0.05,2,500
553.0,553.0,1000,0.05,2,500
568.0,567.0,1000,0.05,2,500
583.0,583.0,1000,0.05,3,500
147.0,147.0,1000,0.05,3,500
624.0,612.0,1000,0.05,3,500
359.0,359.0,1000,0.05,3,500
572.0,572.0,1000,0.05,3,500
629.0,619.0,1000,0.05,3,500
953.0,914.0,1000,0.05,3,500
549.0,549.0,1000,0.05,3,500
607.0,610.0,1000,0.05,3,500
231.0,231.0,1000,0.05,3,500
781.0,755.0,1000,0.05,4,500
717.0,669.0,1000,0.05,4,500
636.0,606.0,1000,0.05,4,500
335.0,335.0,1000,0.05,4,500
249.0,249.0,1000,0.05,4,500
426.0,426.0,1000,0.05,4,500
600.0,600.0,1000,0.05,4,500
410.0,405.0,1000,0.05,4,500
590.0,590.0,1000,0.05,4,500
985.0,968.0,1000,0.05,4,500
749.0,749.0,1000,0.05,5,500
202.0,202.0,1000,0.05,5,500
303.0,303.0,1000,0.05,5,500
199.0,199.0,1000,0.05,5,500
577.0,577.0,1000,0.05,5,500
614.0,614.0,1000,0.05,5,500
490.0,492.0,1000,0.05,5,500
861.0,832.0,1000,0.05,5,500
420.0,417.0,1000,0.05,5,500
296.0,296.0,1000,0.05,5,500
887.0,887.0,1000,0.05,6,500
322.0,322.0,1000,0.05,6,500
699.0,699.0,1000,0.05,6,500
448.0,448.0,1000,0.05,6,500
323.0,323.0,1000,0.05,6,500
891.0,891.0,1000,0.05,6,500
660.0,660.0,1000,0.05,6,500
562.0,562.0,1000,0.05,6,500
596.0,596.0,1000,0.05,6,500
556.0,556.0,1000,0.05,6,500
892.0,892.0,1000,0.05,7,500
405.0,405.0,1000,0.05,7,500
185.0,185.0,1000,0.05,7,500
296.0,296.0,1000,0.05,7,500
385.0,385.0,1000,0.05,7,500
688.0,658.0,1000,0.05,7,500
434.0,434.0,1000,0.05,7,500
606.0,606.0,1000,0.05,7,500
831.0,830.0,1000,0.05,7,500
717.0,717.0,1000,0.05,7,500
661.0,661.0,1000,0.05,8,500
812.0,812.0,1000,0.05,8,500
389.0,389.0,1000,0.05,8,500
410.0,410.0,1000,0.05,8,500
576.0,576.0,1000,0.05,8,500
353.0,353.0,1000,0.05,8,500
620.0,620.0,1000,0.05,8,500
446.0,428.0,1000,0.05,8,500
684.0,664.0,1000,0.05,8,500
350.0,350.0,1000,0.05,8,500
681.0,681.0,1000,0.05,9,500
424.0,424.0,1000,0.05,9,500
570.0,570.0,1000,0.05,9,500
804.0,804.0,1000,0.05,9,500
584.0,584.0,1000,0.05,9,500
572.0,572.0,1000,0.05,9,500
288.0,288.0,1000,0.05,9,500
873.0,873.0,1000,0.05,9,500
247.0,247.0,1000,0.05,9,500
184.0,184.0,1000,0.05,9,500
371.0,371.0,1000,0.05,10,500
960.0,960.0,1000,0.05,10,500
217.0,217.0,1000,0.05,10,500
799.0,799.0,1000,0.05,10,500
250.0,250.0,1000,0.05,10,500
948.0,948.0,1000,0.05,10,500
312.0,312.0,1000,0.05,10,500
784.0,784.0,1000,0.05,10,500
483.0,483.0,1000,0.05,10,500
412.0,412.0,1000,0.05,10,500
